date,country,energy
2018-10,DE,103.51
2018-11,DE,103.99
2018-12,DE,104.23
2019-01,DE,104.5
2019-02,DE,104.88
2019-03,DE,105.12
2019-04,DE,105.47
2019-05,DE,105.54
2019-06,DE,105.77
2019-07,DE,106.06
2019-08,DE,106.32
2019-09,DE,106.36
2019-10,DE,106.37
2019-11,DE,106.4
2019-12,DE,106.87
2020-01,DE,107.27
2020-02,DE,107.25
2020-03,DE,107.36
2020-04,DE,107.86
2020-05,DE,107.71
2020-06,DE,108.29
2020-07,DE,106.06
2020-08,DE,106.3
2020-09,DE,106.18
2020-10,DE,106.05
2020-11,DE,106.52
2020-12,DE,106.69
2021-01,DE,108.64
2021-02,DE,109.25
2021-03,DE,109.68
2021-04,DE,109.88
2021-05,DE,110.13
2021-06,DE,110.24
2021-07,DE,110.58
2021-08,DE,110.99
2021-09,DE,111.72
2021-10,DE,111.87
2021-11,DE,112.5
2021-12,DE,113.46
2022-01,DE,114.41
2022-02,DE,115.45
2022-03,DE,116.6
2022-04,DE,119.84
2022-05,DE,122.48
2022-06,DE,124.73
2022-07,DE,127.96
2022-08,DE,130.27
2022-09,DE,132.28
2022-10,DE,133.75
2022-11,DE,136.03
2022-12,DE,137.3
2023-01,DE,140.05
2023-02,DE,143.04
2023-03,DE,144.22
2023-04,DE,145.11
2023-05,DE,145.63
2023-06,DE,146.75
2023-07,DE,147.06
2023-08,DE,146.73
2023-09,DE,147.32
2023-10,DE,147.59
2023-11,DE,147.89
2023-12,DE,147.78
2018-01,ES,100.25
2018-02,ES,100.43
2018-03,ES,100.43
2018-04,ES,100.59
2018-05,ES,100.97
2018-06,ES,100.92
2018-07,ES,101.1
2018-08,ES,101.19
2018-09,ES,101.3
2018-10,ES,101.42
2018-11,ES,101.32
2018-12,ES,101.58
2019-01,ES,101.74
2019-02,ES,101.92
2019-03,ES,102.04
2019-04,ES,102.25
2019-05,ES,102.19
2019-06,ES,102.25
2019-07,ES,102.35
2019-08,ES,102.65
2019-09,ES,102.21
2019-10,ES,102.54
2019-11,ES,102.58
2019-12,ES,102.53
2020-01,ES,102.64
2020-02,ES,102.89
2020-03,ES,103.08
2020-04,ES,103.49
2020-05,ES,103.72
2020-06,ES,103.43
2020-07,ES,103.14
2020-08,ES,103.08
2020-09,ES,102.9
2020-10,ES,102.79
2020-11,ES,102.72
2020-12,ES,102.91
2021-01,ES,102.69
2021-02,ES,102.67
2021-03,ES,102.74
2021-04,ES,103.18
2021-05,ES,103.15
2021-06,ES,103.25
2021-07,ES,103.38
2021-08,ES,103.66
2021-09,ES,103.76
2021-10,ES,104.67
2021-11,ES,105.35
2021-12,ES,107.6
2022-01,ES,109.16
2022-02,ES,110.68
2022-03,ES,111.24
2022-04,ES,116.35
2022-05,ES,119.02
